,address,kbytes,rss,dirty,mode,mapping
450,00007f2e09b87000,16,0,0,-----,[ anon ]
451,00007f2e09b8b000,1008,84,84,rw---,[ anon ]
452,00007f2e09c87000,4,0,0,-----,[ anon ]
453,00007f2e09c88000,16,0,0,-----,[ anon ]
454,00007f2e09c8c000,1008,4,4,rw---,[ anon ]
455,00007f2e09d88000,2528,12,0,r----,LC_COLLATE
456,00007f2e0a000000,32768,0,0,rw---,[ anon ]
457,00007f2e0c000000,7520,6196,6196,rw---,[ anon ]
458,00007f2e0c758000,58016,0,0,-----,[ anon ]
459,00007f2e10000000,7816,6028,6028,rw---,[ anon ]
460,00007f2e107a2000,57720,0,0,-----,[ anon ]
461,00007f2e14000000,4920,4468,4468,rw---,[ anon ]
462,00007f2e144ce000,60616,0,0,-----,[ anon ]
463,00007f2e18004000,8,8,0,r----,libzip.so
464,00007f2e18006000,16,8,0,r-x--,libzip.so
465,00007f2e1800a000,8,4,0,r----,libzip.so
466,00007f2e1800c000,4,4,4,r----,libzip.so
467,00007f2e1800d000,4,0,0,rw---,libzip.so
468,00007f2e1800e000,28,28,0,r----,libnio.so
469,00007f2e18015000,36,36,0,r-x--,libnio.so
